Unique id,word,frequency
ce7e266f-36a3-4abb-a3f4-6a9f503a5f4d,size,16
806d19e6-8eea-408a-857f-81c21c1ef9c4,phone,8
95031f7b-1bce-43a2-bfa8-bf2515d50340,free,7
fce43b7d-5009-4062-b00a-917390adf3ca,pairs,7
ce7e266f-36a3-4abb-a3f4-6a9f503a5f4d,delivery,6
82c2217c-20a6-4fbd-8ecf-2071a66af894,delivery,6
806d19e6-8eea-408a-857f-81c21c1ef9c4,exchange,6
940d3885-346d-4e3c-9bfb-f4945a962a34,return,6
30cdbcc5-7a07-4c4d-9672-a3ad55bc57a3,phone,5
c019a758-278c-4d38-ab36-296a8873f39c,pick,5
505e98d4-ac32-4012-8a87-c5cd88bbdaa6,refund,5
d28b1a18-33ac-43c0-a0e8-771d3a369aed,baar,5
b50c7406-60a2-48c9-9423-dbef46bb8977,order,5
82c2217c-20a6-4fbd-8ecf-2071a66af894,date,5
4af1ae8d-d446-4c41-bdaf-f98cee5e878a,opd,5
5dfa8cb8-9867-46fb-ac1d-6b68a4848fd7,parcel,5
1ceff833-0add-49d2-a220-37df6de1c9ce,number,5
7a6a0d76-912b-46d5-bab3-38a617d71218,rs,5
51287c15-b4d7-4039-8625-b4725bd7cafb,崺妞ゆ垼妫勬俊绌,5
63454279-c449-49b6-8585-4a437cc6daf5,order,5
87af7488-f056-4a83-8a99-09bb4af14af7,return,5
fce43b7d-5009-4062-b00a-917390adf3ca,shoes,5
74fcd0f2-577d-46b5-8287-8f01ee16e12a,rs,4
af3b599d-e9bb-4227-8123-0dd77ace9e53,size,4
e7ccec0f-7b77-40d0-9072-189e225b80fd,aug,4
c52ba308-7845-4899-ac22-3bb4bacffb2a,delivery,4
06b304b6-5a2e-43a7-9eeb-b04156c20154,price,4
e01a7b15-1420-4618-8be4-73bc03797536,return,4
cd56f61a-1214-4d56-887f-43aafca179ed,make,4
f140b51c-64b0-4316-834a-1e5eae5e1fdf,issue,4
95031f7b-1bce-43a2-bfa8-bf2515d50340,account,4
3538f669-44a3-4af7-861d-e7663743b2ed,size,4
31b05d12-bc1f-43d9-b6fe-3d8f1d6fa747,good,4
7dcbb2af-5099-4d66-8990-0fe63bfb9034,phone,4
3538f669-44a3-4af7-861d-e7663743b2ed,delivered,4
61c62deb-9593-4199-b90e-dc4c243dbb2f,thank,4
c019a758-278c-4d38-ab36-296a8873f39c,time,4
c019a758-278c-4d38-ab36-296a8873f39c,denied,4
942fef2a-a9ed-4aa5-8c34-5e860f14eb70,grocery,4
b3c9f207-c58d-4a54-a8aa-f74fa9d1800a,chat,4
1ceff833-0add-49d2-a220-37df6de1c9ce,primary,4
a32484b7-eac0-488f-b6d0-c4e41c390c72,customers,4
942fef2a-a9ed-4aa5-8c34-5e860f14eb70,items,4
ce7e266f-36a3-4abb-a3f4-6a9f503a5f4d,want,4
167a5459-eeba-4078-ae8f-096d28165358,return,4
0d939436-8976-4a3f-a84e-7cf92c537f71,hai,4
32323f93-d1fa-44de-b015-35d9153ccb70,time,4
b50c7406-60a2-48c9-9423-dbef46bb8977,cancel,4
3538f669-44a3-4af7-861d-e7663743b2ed,issue,4
61c62deb-9593-4199-b90e-dc4c243dbb2f,really,4
